New_Price,Price
,1.75
,12.5
8.61,4.5
,6.0
,17.74
,2.35
,3.5
21,17.5
,5.2
,1.95
10.65,9.95
,4.49
,5.6
,27.0
,17.5
32.01,15.0
,5.4
,5.99
,6.34
,28.0
47.87,18.55
,8.25
,23.5
,1.87
,2.85
,4.25
,4.25
,2.75
10.57,9.9
,4.0
,7.75
,6.75
,12.5
,11.5
12.33,6.98
,1.85
11.12,8.63
,4.85
,28.0
,5.0
,1.25
,1.53
,5.58
,4.74
23.64,8.85
,10.11
,4.25
18.64,10.95
,3.85
,5.5
,21.43
,4.25
,3.3
,3.85
,3.6
,3.99
,3.3
,2.07
,7.75
,2.25
19.34,16.5
,2.75
,26.7
,10.0
,2.5
,13.5
,1.85
49.14,35.67
,8.15
11.81,10.5
,14.5
,9.65
,3.48
16.65,6.92
,6.46
,29.5
,2.0
,4.5
,11.75
,1.3
,3.75
6.67,4.5
,4.82
,2.8
,3.11
,3.25
,13.9
,2.25
,5.75
,2.1
,5.0
,16.5
,39.58
,5.5
,8.1
,3.5
,2.79
,3.45
,4.45
,2.65
,3.8
,4.65
6.45,3.95
,9.8
,2.7
,2.41
6.41,3.9
,24.0
,5.75
,5.25
27,19.25
5.13,3.91
,2.15
54.43,20.75
,3.35
,11.11
,20.0
9.51,6.55
,7.0
9.96,7.5
,0.85
,16.75
14.44,10.95
,2.45
,3.23
,7.75
,9.35
,3.25
,5.25
,7.25
,7.47
,13.25
,5.81
4.53,2.6
95.04,54.0
13.49,11.5
,1.6
,17.22
,6.0
,3.95
,17.95
,3.7
,5.43
,1.67
,13.49
,2.85
,4.75
,9.9
1.28,37.0
60.88,26.5
,23.32
,6.25
,30.0
,9.86
,8.5
,4.23
,3.5
,2.5
,2.39
,11.25
,7.11
,10.9
,6.2
,7.9
,4.42
,13.5
,6.25
,2.1
,45.0
,33.66
,3.65
,2.75
,42.5
7.39,6.5
,19.0
,4.45
,23.0
,8.35
,22.95
,1.5
,6.89
,1.45
69.47,33.5
,1.25
,4.2
,6.75
,32.0
8.78,7.5
,4.6
,4.04
,10.31
,55.76
,2.6
12.74,8.5
,2.95
,3.5
,3.55
,3.25
,4.5
,5.35
10.52,6.5
11.98,9.0
,6.0
,2.75
,1.5
,19.9
,10.0
,3.0
,2.11
,11.96
8.54,3.25
,4.75
,5.95
,8.15
,4.22
,10.5
,45.0
,2.9
,8.9
33.58,26.0
,8.22
,3.5
,1.25
9.12,3.7
,39.41
5.29,2.65
,8.92
,4.1
44.28,35.67
,3.6
,0.85
,3.32
,3.6
,6.8
,2.5
20.74,19.64
,7.0
11.74,3.87
,6.27
,18.12
,2.65
,7.2
,14.3
,6.9
,10.75
,0.95
,8.09
,18.5
,4.75
,8.45
,3.5
,1.8
,3.7
,7.17
,1.75
,21.99
25.52,18.65
,1.85
,5.95
,3.75
,3.75
14.07,2.6
,1.75
,2.8
95.13,61.29
,18.0
,4.35
,13.75
,2.0
,10.0
